repoName,lastCommitter,link
EBSCOIS/platform.shared.ebsco-analytics.SPRQL,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.SPRQL/settings/access
EBSCOIS/platform.shared.ebsco-analytics.SQRL,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.SQRL/settings/access
EBSCOIS/platform.shared.ebsco-analytics.SQRLY,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.SQRLY/settings/access
EBSCOIS/platform.shared.ebsco-analytics.SUN,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.SUN/settings/access
EBSCOIS/platform.shared.ebsco-analytics.SUNNY,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.SUNNY/settings/access
EBSCOIS/platform.shared.ebsco-analytics.TTU,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.TTU/settings/access
EBSCOIS/platform.shared.ebsco-analytics.XIT,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.XIT/settings/access
EBSCOIS/platform.shared.ebsco-analytics.YIVO,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.YIVO/settings/access
EBSCOIS/platform.shared.ebsco-analytics.YUM,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.YUM/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ZEL,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ZEL/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ZYX,svc-github-panorollo,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ZYX/settings/access
EBSCOIS/platform.shared.ebsco-analytics.ZZZ,kevinpowell1,https://www.github.com/EBSCOIS/platform.shared.ebsco-analytics.ZZZ/settings/access
,,
